#Faculties,Words,Difficulty,Kind,Name,Sources
Biology,Anatomy,0,string,"Body structure or the subject for da Vinci",
Biology,Anatomy,0,image,Biology_Anatomy.png,
Biology,Zoology,0,string,"Science of animals",
Biology,Zoology,0,image,Biology_Zoology.png,
Biology,Botany,0,string,"Science of plants",
Biology,Botany,0,image,Biology_Botany.png,
Biology,Ferula,1,string,"Which plant is known as food of the gods? Gave people fire black dung and is used to make "Lebanese Viagra"? ",
Biology,Ferula,1,image,Biology_Ferula.png,
Biology,Vesalius,1,string,"The father of modern anatomy",
Biology,Vesalius,1,image,Biology_Vesalius.png,
Biology,herpetology,1,string,"The branch of zoology concerned with reptiles and amphibians.",
Biology,herpetology,1,image,Biology_Herpetology.png,
Physics,Energy,0,string,"neither created nor destroyed",
Physics,Energy,0,image,Physics_Energy.png,
Physics,Energy,1,sound,Physics_Energy.mp3,
Physics,Joule,1,string,"Newton has decided to move",
Physics,Joule,1,image,Physics_Joule.png,
Physics,Gravity,0,string,"What attracts the Earth to the Sun?",
Physics,Gravity,0,image,Physics_Gravity.png,
Physics,Newton,1,string,"Watch out your head",
Physics,Newton,1,image,Physics_Newton.png,
Physics,Acceleration,0,image,Physics_Acceleration.png,
Physics,Acceleration,0,string,"An increase in the rate of speed",
Physics,Acceleration,0,sound,Physics_Acceleration.mp3,
Physics,Centripetal,1,image,Physics_Centripetal.png,
Physics,Centripetal,1,string,"It affects the change of direction of velocity (adjective)",
Computer_Science,Syntax,0,string,"The rules that govern the structure of language statements",
Computer_Science,Syntax,0,image,Computer_Science_Syntax.png,
Computer_Science,Applet,0,string,"A program that runs in the context of browser.",
Computer_Science,Applet,0,image,Computer_Science_Applet.png,
Computer_Science,Application,1,string,"A program that runs when translated by a Java computer.",
Computer_Science,Application,1,image,Computer_Science_Application.png,
Computer_Science,Algorithm,1,string,"An ordered set of well-defined instructions for the solution of a problem in a finite number of steps",
Computer_Science,Algorithm,1,image,Computer_Science_Algorithm.png,
Computer_Science,Compiler,0,string,"A program that translates a program into machine code that can be converted into an executable program.",
Computer_Science,Compiler,0,image,Computer_Science_Compiler.png,
Computer_Science,Flowchart,1,string,"Used to describe a complete data processing system. With the flow of data through clerical operations involved. Down to the level of individual programs.",
Computer_Science,Flowchart,1,image,Computer_Science_Flowchart.png,
Sports_Science,Wimbledon,0,string,"Grand Slam played on the grass",
Sports_Science,Wimbledon,0,image,Sports_Science_Wimbledon.png,
Sports_Science,Federer,1,string,"Famous tennis player",
Sports_Science,Federer,1,image,Sports_Science_Federer.png,
Sports_Science,Ferrari,0,string,"Formula One' famous brand",
Sports_Science,Ferrari,0,image,Sports_Science_Ferrari.png,
Sports_Science,Schumacher,1,string,"He held the records for the most wins, pole positions and podium finishes in F1",
Sports_Science,Schumacher,1,image,Sports_Science_Schumacher.png,
Sports_Science,Olympiads,0,string,"Famous Sport competition that was established since the Greek age ",
Sports_Science,Olympiads,0,image,Sports_Science_Olympiads.png,
Sports_Science,Javelin,1,string,"light spear designed primarily to be thrown, historically as a ranged weapon",
Sports_Science,Javelin,1,image,Sports_Science_Javelin.png,
Library,Christmas Carol,0,string,"A famouse novella from Dickens. A ghost story about the Christmas.",
Library,Christmas Carol,0,image,Library_Christmas_Carol.png,
Library,Ebenezer,1,string,"In Charles Dickens' "A Christmas Carol"  what was the first name of Scrooge?",
Library,Ebenezer,1,image,Library_Ebenezer.png,
Library,Jane Eyre,1,string,"Which book has this famous lines: "There is no happiness like that of being loved by your fellow-creatures and feeling that your presence is an addition to their comfort." ",
Library,Jane Eyre,1,image,Library_Jane_Eyre.png,
